Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ященко,Арсен,Олексійович,Чоловік,2007-08-22,Модельєр,Перемишляни,"проспект Тульська, буд. 0 кв. 55, Вишневе , 22697",+380 12 752-12-29,tvashchenko-zakharchenko@example.com
Худяк,Семен,Миколайович,Чоловік,1967-12-09,Реабілітолог,Новоград-Волинський,"проспект Мінська, буд. 96, Довжанськ, 07123",210 08 64,babiakboleslav@example.net
Гоголь,Аркадій,Миколайович,Чоловік,1978-03-31,Хімік,Буринь,"площа Амбулаторний 2-й, буд. 186 кв. 8, Красноград, 05810",517 93 48,avrelii48@example.org
Бевз,Андрій,Олексійович,Чоловік,1948-10-30,Флорист,Родинське,"парк Вапняний 1-й, буд. 283, Нікополь, 52870",056 424 46 50,jbabiak@example.com
Михайличенко,Марко,Володимирович,Чоловік,1947-05-04,Різноробочий,Соснівка ,"провулок Городня, буд. 42 кв. 513, Новомиргород, 27375",031 717 66 42,khrystyna07@example.com
Гайдай,Варфоломій,Володимирович,Чоловік,1988-09-10,Піаніст,Корець,"парк Толбухіна, буд. 3 кв. 5, Шумськ, 10557",+380 16 674-53-39,omelian15@example.net
Ващук,Максим,Володимирович,Чоловік,1997-07-08,Маркетолог,Радехів,"парк Байкал тупик, буд. 62, Мелітополь, 42777",+380 57 494-60-64,aronetsliza@example.net
Сич,Аарон,Олексійович,Чоловік,1971-04-28,Електромонтажник,Теребовля,"набережна Космонавта Комарова, буд. 976, Енергодар, 10243",001 725 51 40,les68@example.org
Приходько,Макар,Володимирович,Чоловік,1972-12-11,Археолог,Берегове,"проспект Новобазарний, буд. 3 кв. 6, Збараж, 44835",097 320-05-02,lavrenkooleksandr@example.org
Єфименко,Валентин,Миколайович,Чоловік,2000-05-16,Кур'єр,Кагарлик,"провулок Вапняне селище, буд. 890, Великі Мости, 85382",008 034 53 52,stefanshtepa@example.net
Даценко,Мартин,Сергійович,Чоловік,1950-12-17,Патологоанатом,Чорнобиль,"сквер Проектований 3-й, буд. 49, Судак , 35759",+380 21 069 41 86,spas05@example.net
Влох,Пилип,Володимирович,Чоловік,1983-12-20,Складальник,Нововолинськ,"провулок Соборна, буд. 5, Канів, 32921",+380 35 671-11-38,dshukhevych@example.org
Усик,Гаврило,Сергійович,Чоловік,1968-11-04,Архітектор,Красногорівка,"сквер Маловського, буд. 7 кв. 64, Хмільник, 74210",023 815 17 55,demyd85@example.org
Гоголь,Веніямин,Олексійович,Чоловік,1984-02-27,Кухар,Лохвиця,"шосе Балківська, буд. 0, Ужгород, 40587",+380 72 996-20-65,xshcherbak@example.net
Барабаш,Августин,Сергійович,Чоловік,1961-09-10,Бухгалтер,Герца,"провулок Лінія 48-ма, буд. 373 кв. 302, Судак , 99828",464-94-24,zfurs@example.net
Годунок,Роман,Петрович,Чоловік,1977-08-04,Ботанік,Роздільна,"сквер Водний, буд. 79, Вишневе , 21748",000 641 01 96,les60@example.net
Артюх,Левко,Олексійович,Чоловік,1980-04-02,Штукатур,Коростень,"узвіз Деревообробний 1-й, буд. 36, Сокиряни, 15738",+380 21 175-22-17,anitadrobiazko@example.com
Юхименко,Руслан,Сергійович,Чоловік,1975-04-02,Провізор,Гірське,"провулок Амбулаторний, буд. 9, Генічеськ, 22165",144 26 07,sudovychenko@example.com
Медведенко,Хома,Петрович,Чоловік,1968-04-06,Швачка,Судова Вишня,"провулок Польовий 1-й, буд. 287, Моспине, 27400",+380 32 852-08-69,stefandeineko@example.org
Данилюк,Феофан,Миколайович,Чоловік,1964-06-15,Фотограф,Курахове,"шосе Бригадна, буд. 0, Новий Калинів, 24761",860 41 55,les52@example.com
Шеремета,Павло,Миколайович,Чоловік,1963-06-13,Секретар,Іршава,"площа Сімферопольська, буд. 375 кв. 284, Щастя , 37556",+380 20 545-61-38,shvachkoheorhii@example.net
Рубець,Вадим,Володимирович,Чоловік,1989-06-14,Маркетолог,Чорноморськ,"парк Зелена гірка, буд. 7 кв. 72, Васильків, 19859",553 45 55,volodymyrabrahamovska@example.net
Макогон,Григорій,Петрович,Чоловік,1956-08-29,Мікробіолог,Південне ,"узвіз Новий, буд. 84 кв. 6, Бершадь, 36558",034 930-15-97,ielysaveta37@example.org
Лаба,Марко,Олексійович,Чоловік,1940-05-01,Кінолог,Угнів,"набережна Оборони Ленінграду, буд. 9, Зугрес, 26398",702 49 02,jbazavluchenko@example.com
Гречаник,Ігор,Сергійович,Чоловік,2004-11-02,Ґрунтознавець,Новоукраїнка,"провулок Лінія 26-та, буд. 39, Біла Церква, 13727",+380 89 184-59-24,alevtynprotsenko@example.net
Жарко,Олег,Володимирович,Чоловік,1990-02-14,Продюсер,Вінниця,"парк Кондренка, буд. 069 кв. 573, Кривий Ріг, 50083",077 417 57 48,deinekaarkadii@example.com
Демʼянюк,Вадим,Олексійович,Чоловік,1963-04-16,Живописець,Перечин,"узвіз Соляний 6-й, буд. 98, Гайворон, 14113",042 810 68 37,volodymyra19@example.org
Гавришкевич,Валерій,Олексійович,Чоловік,1994-01-18,Стиліст,Одеса,"шосе Ванцетті, буд. 29 кв. 4, Баранівка, 21610",018 424-40-69,vadymbabych@example.com
Масоха,Кирило,Сергійович,Чоловік,1981-09-30,Електрик,Броди,"парк Дмитрія Донського, буд. 530 кв. 08, Комарно, 61956",+380 00 620-51-94,arkadii60@example.com
Карпа,Григорій,Андрійович,Чоловік,1986-04-09,Паблік рилейшнз,Новомосковськ,"сквер Лінія 46-та, буд. 06 кв. 81, Новодністровськ, 46842",760 51 97,xprotsenko@example.org
Вернидуб,Устим,Володимирович,Чоловік,1978-08-29,Круп'є,Бахмач,"вулиця Чапаєва, буд. 5, Дніпрорудне, 28135",739 37 07,cnazarenko@example.com
Павличенко,Микита,Петрович,Чоловік,1965-05-31,Мікробіолог,Джанкой,"узвіз Люстдорфський, буд. 0, Устилуг, 08535",+380 (52) 569-96-54,frantsprymachenko@example.org
Ярош,Артем,Андрійович,Чоловік,1990-02-06,Бібліограф,Бунге ,"парк Кипарисний 1-й, буд. 25 кв. 9, Українськ, 46689",096 944 86 86,tmedvedenko@example.org
Абраменко,Леонід,Сергійович,Чоловік,1942-12-19,Електрик,Дубно,"площа Тираспольська, буд. 603, Мала Виска, 49484",012 601-54-25,solomonstus@example.org
Харченко,Руслан,Олексійович,Чоловік,1971-08-26,Диригент,Сміла,"вулиця Латвійський узвіз, буд. 071, Лозова , 42143",004 843 55 00,vkanivets@example.net
Данилюк,Андрій,Миколайович,Чоловік,1963-12-02,Дипломат,Суми,"провулок Яхненка Семена, буд. 86 кв. 7, Дунаївці, 83656",071 659 35 59,iukhym49@example.org
Карпа,Хома,Олексійович,Чоловік,1985-09-03,Сценарист,Хуст,"узвіз 3-тя Суворовська, буд. 0, Рогатин, 56237",063 491-69-67,zlatoslavashtokalo@example.net
Цюцюра,Леонтій,Олексійович,Чоловік,1963-09-14,Складальник,Заставна,"вулиця Хаджибейський 3-й, буд. 4 кв. 51, Херсон, 58239",009 533-89-20,vfilipenko@example.org
Пилипенко,Омелян,Іванович,Чоловік,1947-08-20,Етнограф,Теплодар,"парк Ползунова 2-й, буд. 519, Енергодар, 47515",+380 30 842 91 63,ostaphaidai@example.org
Масляк,Дан,Іванович,Чоловік,1969-08-28,Складальник,Мирноград,"парк Студентський, буд. 987, Чугуїв, 23282",+380 16 962-49-98,nromanenko@example.org
Ґжицька,Василь,Миколайович,Чоловік,1969-05-15,Мінералог,Бердичів,"провулок Чорноморський, буд. 64 кв. 94, Курахове, 41799",021 853-52-40,ieshchenkoalina@example.com
Жученко,Пилип,Андрійович,Чоловік,1975-10-14,Електромонтер,Петрово-Красносілля,"проспект Офіцерська, буд. 2, Лубни, 42323",075 200-91-78,huzvalentyna@example.net
Стельмах,Левко,Володимирович,Чоловік,1954-07-09,Ді-джей,Пирятин,"сквер Бородінська, буд. 34, Радехів, 30114",+380 43 048-57-31,martyndemianenko@example.net
Ющенко,Азар,Миколайович,Чоловік,2002-10-30,Електротехнік,Городище ,"провулок Строганов міст, буд. 108, Боярка, 02870",+380 41 940 62 14,okseniiahavrylets@example.net
Лисенко,Олекса,Іванович,Чоловік,1977-03-06,Зоолог,Лубни,"вулиця Софіївська, буд. 8, Сокиряни, 95871",297 93 81,alinaivanychuk@example.org
Бабиченко,Олесь,Володимирович,Чоловік,1981-01-05,Кіноактор,Вашківці,"шосе Житкова, буд. 2 кв. 4, Фастів, 29463",013 689-33-00,abramchukbohdan@example.org
Оніщук,Арсен,Миколайович,Чоловік,1989-06-30,Кур'єр,Амвросіївка,"провулок Овідіопольська, буд. 4, Решетилівка, 63547",+380 66 399 99 95,iustymsaienko@example.org
Гавриш,Амвросій,Олексійович,Чоловік,1969-03-08,Фермер,Збараж,"парк Привокзальна, буд. 10 кв. 054, Ладижин, 16795",142 60 75,ebashpolchenko@example.org
Артимишин,Максим,Сергійович,Чоловік,1984-08-16,Стоматолог,Нетішин,"проспект Студентський 4-й, буд. 24 кв. 697, Інкерман, 21695",+380 50 738 02 87,kylymnykarkadii@example.org
Демиденко,Дмитро,Андрійович,Чоловік,2005-12-23,Літературознавець,Дружківка,"сквер Десятого квітня, буд. 307 кв. 314, Богуслав, 88241",+380 (50) 973-61-12,valentyniaremko@example.net
Ґерета,Степан,Володимирович,Чоловік,1974-07-29,Електрик,Кременець,"провулок Лідерсівський, буд. 44, Одеса, 39748",+380 86 980-55-99,snizhanakorzh@example.org
Височан,Семен,Іванович,Чоловік,2003-09-20,Музикознавець,Остер ,"площа Балківська, буд. 98 кв. 30, Корець, 94400",+380 (36) 560-94-85,feofan80@example.org
Опанасенко,Богдан,Сергійович,Чоловік,1975-08-04,Гірничий інженер,Українськ,"сквер Першотравневий 2-й, буд. 3, Полтава, 58732",+380 35 773-55-73,mykhailyna00@example.com
Деряжний,Кирило,Андрійович,Чоловік,1957-01-14,Стоматолог,Торецьк,"сквер Слобідська, буд. 78 кв. 0, Красилів, 46764",+380 70 125-63-11,ostapchukviktoriia@example.org
Свириденко,Герман,Олексійович,Чоловік,1950-02-07,Ювелір,Дубровиця,"узвіз Дубовий гай, буд. 3, Яремче, 05696",492 02 40,olenasvystun@example.net
Вакуленко,Лесь,Сергійович,Чоловік,2007-03-26,Редактор,Першотравенськ,"узвіз Вознесенський, буд. 959 кв. 11, Нова Одеса, 24435",+380 62 483-07-49,xtaran@example.com
Голобородько,Олександр,Олексійович,Чоловік,2008-02-01,Адвокат,Шепетівка,"провулок Єврейська, буд. 395 кв. 0, Глухів, 82325",+380 (29) 244-51-14,iustympryimak@example.net
Дзиндра,Хома,Іванович,Чоловік,1992-01-08,Режисер,Ворожба,"сквер Новгородський 2-й, буд. 80, Кальміуське, 66796",+380 96 778 55 25,aaronpetrenko@example.org
Чередник,Болеслав,Петрович,Чоловік,1974-04-10,Вчитель,Хорол ,"шосе Лютнева, буд. 860, Ровеньки, 49675",+380 20 789-34-28,korolenkoamaliia@example.com
Гузій,Володимир,Петрович,Чоловік,1988-12-16,Журналіст,Джанкой,"узвіз Ольгіївська, буд. 28 кв. 24, Жовква, 51588",+380 65 664-83-89,nazar23@example.com
Хорішко,Гліб,Олексійович,Чоловік,2005-03-04,Модель,Коростень,"проспект Перша, буд. 987 кв. 46, Залізне, 90325",+380 39 856-37-46,demian21@example.org
Заїка,Мирон,Петрович,Чоловік,1967-10-21,Стоматолог,Вуглегірськ,"провулок Польова, буд. 6, Переяслав, 64554",872-72-19,filipenkovioletta@example.com
Єфименко,Адам,Миколайович,Чоловік,1998-09-10,Фотограф,Алмазна,"узвіз Учнівська, буд. 63, Снігурівка, 34261",449 63 16,matiashavhustyn@example.org
Пушкар,Григорій,Миколайович,Чоловік,1943-11-29,Художник,Добромиль,"узвіз Східчастий 4-й, буд. 63, Львів, 62625",+380 37 596-32-92,veresteodor@example.com
Тиха,Спас,Петрович,Чоловік,1943-06-11,Письменник,Андрушівка,"площа Ломоносова, буд. 513, Ровеньки, 46152",+380 (44) 090-04-08,btelizhenko@example.net
Гузенко,Єфрем,Олексійович,Чоловік,1945-06-29,Головний меркшейдер,Моршин,"узвіз Донецька, буд. 08, Соледар, 76985",067 406-24-73,emoskal@example.com
Даниленко,Орхип,Андрійович,Чоловік,1938-12-12,Няня,Глухів,"площа Собінова, буд. 57, Звенигородка, 92280",911-76-79,violetta91@example.org
Якимчук,Валентин,Петрович,Чоловік,1958-04-30,Кухар,Моспине,"проспект Північний, буд. 7, Олевськ, 47642",038 785-14-38,panteleimondeisun@example.net
Гайворонська,Трохим,Сергійович,Чоловік,1990-07-22,Громадський діяч,Суходільськ,"площа Миколи Гефта, буд. 1, Білозерське, 13660",977-10-38,hchupryna@example.org
Демиденко,Франц,Іванович,Чоловік,2000-11-15,Режисер,Бахмут,"шосе Державіна, буд. 19, Пирятин, 16953",+380 90 234-93-81,stepanizhakevych@example.com
Ільєнко,Леопольд,Сергійович,Чоловік,1970-11-27,Шериф,Тетіїв,"узвіз Лінійний, буд. 483 кв. 7, Гайсин, 97314",+380 37 938-29-55,ievazasiadko@example.com
Ляшко,Петро,Петрович,Чоловік,1946-03-18,Режисер,Благовіщенське,"узвіз Рибальська балка, буд. 6 кв. 13, Дубровиця, 61110",+380 47 592-12-47,ostap66@example.org
Колесниченко,Зиновій,Іванович,Чоловік,1942-08-19,Електромонтер,Сєвєродонецьк,"площа Керченський 1-й, буд. 97, Одеса, 20394",+380 (40) 805-20-54,misaievych@example.com
Приймак,Дмитро,Петрович,Чоловік,1994-02-17,Композитор,Бершадь,"площа 10-та Лінія Марії Демченко, буд. 739 кв. 5, Селидове, 46709",089 325 92 89,dankivorysia@example.com
Кабалюк,Олекса,Володимирович,Чоловік,1969-04-12,Юрист,Виноградів,"парк Поперечний, буд. 72, Новомосковськ, 84707",324-31-67,boleslavieshchenko@example.com
Їжак,Ігор,Петрович,Чоловік,1962-11-11,Електрик,Чугуїв,"проспект Володі Дубініна, буд. 977, Броди, 66110",+380 27 901-63-59,hannakhrystych@example.net
Туркало,Валерій,Миколайович,Чоловік,1953-02-06,Композитор,Зіньків,"проспект Маразліївська, буд. 3, Івано-Франківськ, 25170",+380 15 828 81 15,konopliaheorhii@example.com
Юрчишина,Леонід,Сергійович,Чоловік,1979-10-26,Графік,Дніпро ,"набережна Солонцюватий 1-й, буд. 988, Татарбунари, 15206",077 294-92-39,artemviter@example.com
Медведенко,Степан,Андрійович,Чоловік,1954-01-03,Реабілітолог,Копичинці,"вулиця Грузинська, буд. 595, Очаків, 30895",701-40-16,uzinchenko@example.com
Гречаник,Олександр,Миколайович,Чоловік,2000-02-06,Сценарист,Підгайці,"провулок Ватманський, буд. 7 кв. 05, Бурштин , 18037",+380 (79) 891-16-89,fedirkovaliuk@example.org
Тягнибок,Алевтин,Миколайович,Чоловік,1983-10-10,Державний службовець,Мелітополь,"площа Василя Кандинського 5-й, буд. 594, Свалява, 95718",+380 (64) 711-77-44,stefan82@example.org
Баранець,Ігор,Олексійович,Чоловік,1987-06-07,Бібліограф,Долинська,"провулок Горбатий міст, буд. 013, Охтирка, 67279",+380 85 060-92-51,arsen94@example.net
Яремчук,Семен,Іванович,Чоловік,1991-06-14,Флорист,Ужгород,"проспект Грибоєдова, буд. 374, Євпаторія, 70133",253-69-47,wzabarna@example.net
Бабенко,Петро,Андрійович,Чоловік,1961-05-01,Модельєр,Святогірськ,"узвіз Польовий 1-й, буд. 501 кв. 5, Мелітополь, 53805",469-88-38,okseniia31@example.org
Перепелиця,Аврелій,Олексійович,Чоловік,1963-07-26,Випробувач,Городенка,"набережна Кримський, буд. 5 кв. 267, Старий Самбір, 05095",+380 (14) 829-23-58,tetianakashchenko@example.net
Якименко,Василь,Андрійович,Чоловік,1988-03-10,Детектив,Немирів,"шосе Аграрна, буд. 785, Ржищів, 87669",+380 26 584-11-94,ihorsavenko@example.net
Дубас,Владислав,Володимирович,Чоловік,1954-01-15,Електрик,Кривий Ріг,"провулок Марата 2-й, буд. 9 кв. 6, Вільногірськ, 45159",639 56 48,gshvedchenko@example.com
Кальченко,Валентин,Сергійович,Чоловік,1947-02-04,Геофізик,Мирноград,"парк Сортувальна 1-ша, буд. 3, Теплодар, 84872",548-38-98,orkhypiurchuk@example.com
Гавриленко,Лукʼян,Андрійович,Чоловік,1964-10-13,Фізик,Тернівка ,"узвіз Кондрашина, буд. 838 кв. 7, Козятин, 85471",+380 18 512-50-43,trokhym78@example.org
Карпенко,Охрім,Петрович,Чоловік,1959-12-16,Електромонтажник,Зимогір'я,"вулиця 3-тя Суворовська, буд. 413 кв. 0, Івано-Франківськ, 82528",064 371 76 25,tymofiilemeshko@example.org
Салій,Мирон,Петрович,Чоловік,2001-10-13,Продюсер,Чорноморськ,"вулиця Водний, буд. 028 кв. 06, Сокаль, 37981",058 999-01-11,batiukmartyn@example.org
Корсун,Опанас,Володимирович,Чоловік,1957-12-24,Доцент,Вінниця,"площа Рішельєвська, буд. 6 кв. 0, Ходорів, 22751",+380 (24) 751-16-62,vitrukmilena@example.com
Яценко,Тарас,Сергійович,Чоловік,1944-01-22,Парфюмер,Золотоноша,"шосе Поштовий, буд. 49 кв. 26, Новий Калинів, 42109",117 48 98,trokhym17@example.net
Теличенко,Адам,Петрович,Чоловік,1989-11-20,Фермер,Червоносів,"вулиця Бернардацці, буд. 47, Алчевськ, 38823",683-78-71,piatachenkomariia@example.org
Ященко,Симон,Петрович,Чоловік,1983-05-04,Дерун,Пустомити,"парк Лідерсівський, буд. 94, Вишневе , 58720",950-59-24,arsen34@example.org
Гаврюшенко,Вадим,Петрович,Чоловік,2006-11-10,Кінокритик,Арциз,"шосе Віри Інбер, буд. 424, Ірміно, 58112",041 37 67,teodor23@example.com
Шахрай,Олекса,Сергійович,Чоловік,1953-10-06,Фармацевт,Хрестівка,"набережна Проїзний 2-й, буд. 6, Тараща, 76140",000 399-73-82,vdovenkotaras@example.com
Шиян,Назар,Іванович,Чоловік,1992-08-08,Стоматолог,Глухів,"набережна Ткачова, буд. 232, Красилів, 59981",950 77 24,wtykhyi@example.net
Смик,Орхип,Володимирович,Чоловік,1960-03-08,Кінокритик,Кобеляки,"проспект Гвоздична, буд. 099 кв. 9, Токмак, 95056",095 840-77-13,emiliiavyshniak@example.com
Ісаєнко,Макар,Володимирович,Чоловік,1977-05-17,Шериф,Зміїв,"площа Палубна, буд. 116 кв. 141, Сіверськ, 94395",884 00 91,mshapoval@example.org
Ващенко,Герман,Володимирович,Чоловік,1968-07-30,Шериф,Кальміуське,"узвіз Академіка Вавилова, буд. 5, Алчевськ, 73546",053 883 82 70,babychiakiv@example.org
Дейсун,Микита,Іванович,Чоловік,1988-02-05,Намотувальник,Підгайці,"узвіз Лиманна, буд. 31, Молочанськ, 17607",912-57-83,eibozhenkotereza@example.net
Бабич,Алевтин,Олексійович,Чоловік,1954-08-27,Прокурор,Золочів,"площа Північна, буд. 567 кв. 2, Рудки, 58065",+380 52 800 71 00,danchukvolodymyr@example.org
Остапчук,Кирило,Сергійович,Чоловік,1968-12-13,Модельєр,Горлівка,"провулок 2-га Суворовська, буд. 171 кв. 1, Бібрка, 48887",086 730-86-13,dopanasenko@example.com
Оробець,Захар,Петрович,Чоловік,1988-03-16,Антрополог,Заліщики,"шосе Флотський 3-й, буд. 6, Амвросіївка, 10402",+380 49 216-71-01,gprykhodko@example.com
Масляк,Ігнат,Володимирович,Чоловік,1955-03-28,Машиніст,Зимогір'я,"сквер Гагаріна, буд. 254 кв. 8, Ківерці, 64724",020 625-79-06,zatulapylyp@example.com
Ткаченко,Георгій,Володимирович,Чоловік,1968-10-20,Модель,Покровськ,"провулок Тракторна, буд. 792 кв. 76, Кадіївка, 56301",017 539 95 59,stefanhuz@example.com
Їжак,Микита,Петрович,Чоловік,2000-09-01,Мовознавець,Тлумач,"проспект Єлісаветинська, буд. 2, Турка, 43653",027 205-94-11,liza84@example.net
Кириленко,Святослав,Петрович,Чоловік,1990-03-19,Астронавт,Миколаїв,"набережна Чернівецький, буд. 2, Підгородне, 19975",082 247 92 92,yostapchuk@example.org
Данильчук,Юстим,Олексійович,Чоловік,1970-08-12,Кінорежисер,Оріхів,"вулиця 9-та Суворовська, буд. 0 кв. 810, Броди, 20297",046 82 39,ihnatbatih@example.org
Теліженко,Олег,Миколайович,Чоловік,1992-02-10,Єгер,Макіївка,"узвіз Асєєва Юрія, буд. 387, Тиврів, 36139",044 556 30 26,mykhailyna59@example.org
Данченко,Едуард,Іванович,Чоловік,1995-01-10,Ді-джей,Івано-Франківськ,"проспект Розумовський 1-й, буд. 8 кв. 41, Подільськ, 99678",459 98 07,albert55@example.org
Яременко,Ярослав,Олексійович,Чоловік,1948-10-13,Фотограф,Харків,"провулок Давида Ойстраха, буд. 28 кв. 5, Виноградів, 76889",+380 52 293-39-72,iakovenkosviatoslava@example.org
Полтавець,Франц,Петрович,Чоловік,1985-07-01,Археолог,Свалява,"вулиця Дністровська, буд. 0 кв. 84, Пологи , 15130",500 64 94,artem56@example.com
Акуленко,Климент,Петрович,Чоловік,1997-05-15,Провізор,Глобине,"сквер Байкальська, буд. 2, Старобільськ, 82709",+380 29 225-72-81,leonadamenko@example.net
Гоголь,Артем,Миколайович,Чоловік,1951-05-28,Стиліст,Одеса,"проспект Десята, буд. 04 кв. 3, Сарни, 32780",048 196-80-31,noberemko@example.net
Вернигора,Онисим,Володимирович,Чоловік,1939-03-27,Реставратор,Косів,"парк 40-річчя оборони Одеси, буд. 298 кв. 701, Великі Мости, 17776",006 735-33-36,iaremamazur@example.com
Бгиденко,Пантелеймон,Олексійович,Чоловік,2007-08-26,Зоолог,Кипуче,"шосе Кренкеля, буд. 6 кв. 11, Ямпіль, 08890",504-67-97,scharnysh@example.org
Дутка,Ярослав,Олексійович,Чоловік,1953-04-08,Адвокат,Перемишляни,"вулиця Планетна, буд. 66, Новий Калинів, 16152",061 476-09-62,tbashpolchenko@example.com
Яремків,Данило,Андрійович,Чоловік,2002-07-07,Хімік,Новий Розділ,"проспект Умова, буд. 059 кв. 262, Дунаївці, 30209",078 215-36-43,karmaliukfeofan@example.com
Гук,Валерій,Володимирович,Чоловік,1985-02-09,Програміст,Тетіїв,"вулиця Госпітальний, буд. 76, Скалат, 68062",342 42 32,nkaras@example.org
Дейнеко,Ігнат,Сергійович,Чоловік,1993-08-10,Клавішник,Вугледар,"вулиця Рівності, буд. 326 кв. 36, Гірське, 17378",+380 (86) 842-47-05,hermansachenko@example.com
Ребрик,Євген,Олексійович,Чоловік,1977-08-23,Електрик,Тетіїв,"парк Тополиний, буд. 45, Докучаєвськ, 55760",+380 68 507-22-10,iaroslavkalenychenko@example.net
Панчук,Демид,Олексійович,Чоловік,1959-12-02,Палеонтолог,Арциз,"провулок Віри Холодної, буд. 017 кв. 885, Ізюм, 40361",017 291-74-45,illia15@example.net
Устенко,Соломон,Іванович,Чоловік,1978-01-08,Ріелтор,Долина ,"шосе Кінна, буд. 32 кв. 295, Суходільськ, 83220",+380 65 538-29-94,baidaalla@example.org
Вівчаренко,Устим,Миколайович,Чоловік,2005-10-19,Агроном,Мена ,"вулиця Михайла Жванецького, буд. 8 кв. 2, Березівка, 49479",+380 18 801-90-30,oksanalupii@example.org
Ґалаґан,Аркадій,Володимирович,Чоловік,1980-03-19,Кінорежисер,Молочанськ,"провулок Дальній, буд. 66 кв. 196, Монастириська, 82299",+380 71 206 96 78,bohuslava35@example.org
Чміль,Гордій,Володимирович,Чоловік,1972-07-01,Промисловець,Курахове,"сквер Лютнева, буд. 24 кв. 849, Середина-Буда, 21272",000 273-60-07,dpelekh@example.net
